,sents
4822,Man Utd won 8-1 on their last league visit to the City Ground in February 1999 and it looked like struggling Forest could be on the end of another heavy defeat when Felipe had to block a Jadon Sancho shot near his own goal-line inside a minute
4823," But with the advantage at just one, Forest were still in the contest and should have levelled when Felipe nodded a corner over from close range"
4824,"There were good chances in the opening 45 for Taiwo Awoniyi, too, with one shot cleared off the line and another blazed over the bar, before Scott McKenna forced the ball onto a post"
4825,"However, Forest responded well and Awoniyi saw his own goal-bound effort blocked by Aaron Wan-Bissaka just a few minutes later"
4826,"It would have capped a miserable start to the game for Maguire, who had been booked for hauling down Awoniyi and sent a pass straight of play, and he was involved again when Forest hit the post from another corner"
4827,Awoniyi and Fernandes - playing in an advanced role after Marcel Sabitzer was injured in the warm-up - both blew good chances to get on the scoresheet themselves late on in what had been an open first-half
4828,"However, Forest responded well and Awoniyi saw his own goal-bound effort blocked by Aaron Wan-Bissaka just a few minutes later"
4829," He had another one, if Aaron Wan-Bissaka was not blocking the shot!""""When you look at Forest's situation, as poor as they were today, they're still on the verge of having a brilliant season"
4830, They will feel hard done by for not being awarded a penalty with the scores at 0-0 when the ball struck an arm of the nervy Harry Maguire in the box
4831,Man Utd won 8-1 on their last league visit to the City Ground in February 1999 and it looked like struggling Forest could be on the end of another heavy defeat when Felipe had to block a Jadon Sancho shot near his own goal-line inside a minute
4832,"It could have shortly been two when the rebound from another Watkins shot fell for Ramsey, but with Pope beaten he smacked the bar from no more than eight yards"
4833,"Watkins raced onto a ball in behind before getting the better of Pope with another smart finish, only for a VAR review to rule him offside of Sven Botman by a matter of millimetres"
4834,"Watkins raced onto a ball in behind before getting the better of Pope with another smart finish, only for a VAR review to rule him offside of Sven Botman by a matter of millimetres"
4835,"A four and five-match winning streak between the two sides could have signalled a cagey affair but Watkins' early exploits suggested there would be little of the sort at Villa Park, as he held off Fabian Schar and fired against the base of the post inside 30 seconds"
4836, The likely second-half Newcastle resurgence did begin to materialise once Callum Wilson was brought on to play alongside Alexander Isak - but even that was soon punctured
4837, The likely second-half Newcastle resurgence did begin to materialise once Callum Wilson was brought on to play alongside Alexander Isak - but even that was soon punctured
4838,"Lampard made a quadruple change but it seemed to have no effect, with Enciso then hitting the post from a tight angle after overwhelming Reece James and Trevoh Chalobah"
4839,"Brighton had seen three VAR calls go against the at Tottenham last week and there were two in the first 45 on Saturday, with Dunk arguing Enzo Fernandez had pulled him back at a corner before Christian Pulisic appeared to handle in the box"
4840,"Brighton had seen three VAR calls go against the at Tottenham last week and there were two in the first 45 on Saturday, with Dunk arguing Enzo Fernandez had pulled him back at a corner before Christian Pulisic appeared to handle in the box"
4841,"Lampard made a quadruple change but it seemed to have no effect, with Enciso then hitting the post from a tight angle after overwhelming Reece James and Trevoh Chalobah"
4842, Ferguson and Veltman can't play for a couple of weeks minimum
4843,Both sides struggled for fluency in a cagey opening but spaces gradually opened up with Demarai Gray and Wilson both having tame efforts saved by Bernd Leno and Jordan Pickford respectively
4844,"Fulham were starting to get on top as Andreas Pereira shot wide before the deadlock was broken in the 22nd minute, with Reed slotting beyond Pickford after Everton were left scrambling when Wilson's curling effort thudded against a post"
4845,"The visitors had a couple of chances to move even further ahead as Pickford saved from Pereira, who then saw an effort deflected over with Everton increasingly penned back into their own half"
4846,"Some slack defending led to Fulham's third in the 68th minute, with a free-kick over the top catching Everton on their heels although James still did brilliantly to bring the ball down before firing across Pickford"
4847,Maupay could have opened his account but his point-blank header was straight at Leno and then James Tarkowski wastefully blazed the rebound over before Everton got a deserved equaliser after 35 minutes
4848,Both sides struggled for fluency in a cagey opening but spaces gradually opened up with Demarai Gray and Wilson both having tame efforts saved by Bernd Leno and Jordan Pickford respectively
4849,"As Everton are the lowest scorers in the division, Reed's strike might have been decisive but the hosts rallied, thanks in part to transitioning from 4-4-2 to a 4-3-3 formation as McNeil and Gray began to operate higher up the pitch to support Neal Maupay as Alex Iwobi dropped back into midfield"
4850,"As Everton are the lowest scorers in the division, Reed's strike might have been decisive but the hosts rallied, thanks in part to transitioning from 4-4-2 to a 4-3-3 formation as McNeil and Gray began to operate higher up the pitch to support Neal Maupay as Alex Iwobi dropped back into midfield"
4851,Maupay could have opened his account but his point-blank header was straight at Leno and then James Tarkowski wastefully blazed the rebound over before Everton got a deserved equaliser after 35 minutes
4852,"With confidence seemingly restored by the leveller, Everton remained on top but they could not find another way through before the break as Maupay was once again denied by Leno after a one-two by McNeil, whose teasing cross from the right evaded everyone in the box and drifted narrowly wide"
4853,"Arsenal hauled themselves back into the contest six minutes later when Martinelli brilliantly volleyed Saka's cross as a palpable sense of relief reverberated around the stadium, but Southampton remained dangerous, with Ramsdale atoning for his early error with two saves in quick succession to deny Mohamed Elyounoussi and Alcaraz adding a third"
4854,"After Gabriel Martinelli's first-half goal failed to spark a comeback, captain Martin Odegaard looked to have scored a consolation two minutes from time but it sparked a remarkable Arsenal revival, with Bukayo Saka firing in the equaliser in the final minute"
4855,"Arteta threw on Trossard, Eddie Nketiah and Reiss Nelson in an attempt to set up a grandstand finish, but, after Gabriel Jesus had missed a couple of decent chances, it was skipper Odegaard whose curled finish gave them hope"
